Row Labels,Sum of revenue,,,,,,,,,,,,,
Beauty,765860.88,,Row Labels,Sum of quantity,,Row Labels,Sum of revenue,,,,,,,
Clothing,1531931.72,,Beauty,2995,,East,1236044.23,,,,,,,
Electronics,1829899.22,,Clothing,6171,,North,1281508.45,,Row Labels,Sum of quantity,Sum of discount,,Row Labels,Sum of customer_rating
Home,982083.92,,Electronics,7109,,South,1246640.9,,Beauty,2995,131.17,,Beauty,2175.5
Grand Total,5109775.74,,Home,3949,,West,1345582.16,,Clothing,6171,282.1,,Clothing,4600.8
,,,Grand Total,20224,,Grand Total,5109775.74,,Electronics,7109,313.91,,Electronics,5244.1
,,,,,,,,,Home,3949,172.74,,Home,2849.5
,,,,,,,,,Grand Total,20224,899.92,,Grand Total,14869.9
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Row Labels,Sum of quantity,Sum of unit_price,,,,,,,,,,,,
East,4916,377630.85,,,,,,,,,,,,
North,5164,389313.84,,Row Labels,Sum of customer_rating,,,,,,,,,
South,4884,374785.56,,East,3648.1,,,,,,,,,
West,5260,400363.62,,North,3819.3,,,,,,,,,
Grand Total,20224,1542093.87,,South,3585.1,,,,,,,,,
,,,,West,3817.4,,,,,,,,,
,,,,Grand Total,14869.9,,,,,,,,,
